solvent_smiles,Boiling Point,Molecular Weight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Exact Mass,Monoisotopic Mass,Topological Polar Surface Area,Heavy Atom Count,Complexity
c1ccc(COCc2ccccc2)cc1,298,198.26,3.3,0,1,4,198.1,198.1,9.2,15,137
CC12CCC(CC1)C(C)(C)O2,176,154.25,2.5,0,1,0,154.14,154.14,9.2,11,164
CCCCCC(C)=O,151,114.19,2,0,1,4,114.1,114.1,17.1,8,66.8
CCCCC(=O)O,186.5,102.13,1.4,1,2,3,102.07,102.07,37.3,7,59.1
CCCCCC(=O)O,205.8,116.16,1.9,1,2,4,116.08,116.08,37.3,8,68.9
CCCCCCC(=O)O,222.2,130.18,2.5,1,2,5,130.1,130.1,37.3,9,79
O=C1OCCO1,248,88.06,0.3,0,3,0,88.02,88.02,35.5,6,60.4
CCOC(=O)c1ccccc1,212,150.17,2.6,0,2,3,150.07,150.07,26.3,11,126
COC(=O)c1ccccc1C(=O)OC,284,194.18,1.6,0,4,4,194.06,194.06,52.6,14,200
Fc1ccc(F)cc1,88.5,114.09,2.2,0,2,0,114.03,114.03,0,8,54.9
CCCCCl,78,92.57,2.6,0,0,2,92.04,92.04,0,5,13.1
CCCCBr,102,137.02,2.8,0,0,2,135.99,135.99,0,5,13.1
BrCBr,97,173.83,1.8,0,0,0,173.85,171.85,0,3,2.8
BrCCBr,131.3,187.86,2,0,0,1,187.87,185.87,0,4,6
BrC(Br)Br,149.2,252.73,2.8,0,0,0,251.76,249.76,0,4,8
CCCCI,130.5,184.02,3.1,0,0,2,183.97,183.97,0,5,13.1
CC(N)N,118,60.1,-1.1,2,2,0,60.07,60.07,52,4,11.5
c1ccc(CNCc2ccccc2)cc1,300,197.27,2.7,1,1,4,197.12,197.12,12,15,137
CCCCCCN(C)C,148,129.24,2.6,0,1,5,129.15,129.15,3.2,9,50.5
Nc1ccccc1Cl,208.8,127.57,1.9,1,1,0,127.02,127.02,26,8,74.9
Cc1ccncc1,144.5,93.13,1.2,0,1,0,93.06,93.06,12.9,7,46.1
Fc1ccccn1,126.3,97.09,0.8,0,2,0,97.03,97.03,12.9,7,56
Fc1nc(F)c(F)c(F)c1F,84,169.05,2,0,6,0,169,169,12.9,11,129
Brc1ccccn1,193,158,1.4,0,1,0,156.95,156.95,12.9,7,56
Brc1cccnc1,173,158,1.6,0,1,0,156.95,156.95,12.9,7,56
Cc1ccncc1C,163.5,107.15,1.6,0,1,0,107.07,107.07,12.9,8,70.8
N#Cc1ccccn1,224.5,104.11,0.4,0,2,0,104.04,104.04,36.7,8,111
N#CCc1ccccc1,233.5,117.15,1.6,0,1,1,117.06,117.06,23.8,9,114
CCN(C=O)CC,177,101.15,0.5,0,1,2,101.08,101.08,20.3,7,50
O=C1CCCN1,245,85.1,-0.8,1,1,0,85.05,85.05,29.1,6,69.9
C=CN1CCCCCC1=O,262.7,139.19,1.1,0,1,1,139.1,139.1,20.3,10,142
CN(C)C(=N)N(C)C,162.5,115.18,0.4,1,1,2,115.11,115.11,30.3,8,75.7
CN(C)C#N,162,70.09,-0.2,0,2,0,70.05,70.05,27,5,56.5
CSC,37,62.14,0.9,0,1,0,62.02,62.02,25.3,3,2.8
